"Venue Name","Venue type","Address","Latitude","Longitude"
"Balis Street Park","Park","72 Marshall Road, Holland Park West",-27.524082,153.061732
"Ballinderry Street Park","Park","17 Ballinderry Street, Everton Park",-27.397595,152.982945
"Balmoral Cemetery","General Council venue","441 Wynnum Road, Morningside",-27.469524,153.065903
"Balmoral Park","Park","481 Wynnum Road, Morningside",-27.472137,153.06663
"Bancroft Park","Park","Hulme Street, Kelvin Grove",-27.443777,153.006013
"Bangalow Street Park","Park","Bangalow Street, Bridgeman Downs",-27.441018,152.945381
"Banks Crescent Park","Park","15 Banks Crescent, Wynnum West",-27.451345,153.149804
"Banks Street Reserve","Park","26 View Street, Alderley",-27.434151,152.997428
"Banksia Avenue Park","Park","66 Grevillea Road, Ashgrove",-27.443193,152.977641
"Banksia Village Park","Park","17A Banksia Circuit, Forest Lake",-27.611597,152.965777
"Bannister Park","Park","116 Gerler Road, Hendra",-27.417309,153.070121
"Banyo Community Garden","Community Garden,Non-Council venue","37 Hilltop Place, Banyo",-27.375701,153.082987
"Banyo Library","Library","300 St Vincents Road, Banyo",-27.374311,153.078618
"Banyo Memorial Park","Park","300 St Vincents Rd, Banyo",-27.373902,153.078367
"Bapaume Road Park (road reserve)","Park","238 Bapaume Road, Holland Park West",-27.535563,153.063162
"Barbour Road Park","Park","17 Canterbury Street, Bracken Ridge",-27.323187,153.019154
"Barcoorah Street Park","Park","88 Barcoorah Street, Westlake",-27.548417,152.904743
"Bardon Park","Park","101 Coolibah Street, Bardon",-27.45661,152.978743
"Barlow Place Park","Park","26 Gertrude Street, Boondall",-27.342168,153.056824
"Barnard Street Park","Park","60 Bridgnorth Street, Carindale",-27.505881,153.111134
"Baroona Road Park (road reserve)","Park","243 Baroona Road, Paddington",-27.465242,152.992553
"Barramundi Street Park","Park","30 Barramundi Street, Manly West",-27.471835,153.167275
"Barrett Street Reserve (water reserve)","Park","41 Jude Street, Bracken Ridge",-27.321505,153.03412
"Barrington Crescent Park","Park","11 Barrington Crescent, Wakerley",-27.486564,153.156219
"Barston Place Park","Park","23 Norfolk Street, Coorparoo",-27.501828,153.063616
"Bartleys Hill Outlook Reserve","Park","29 Massey Street, Ascot",-27.431875,153.051833
"Barton Road Pocket Park","Park","186 Barton Road, Hawthorne",-27.458248,153.053525
"Barungwarra Bushland Reserve","Park","98 Bald Hills-Burpengary Road, Bald Hills",-27.303785,153.014434
"Barwin Street Park","Park","10 Barwin Street, Wakerley",-27.48251,153.15614
"Barwon Street Park","Park","175 Beverley Street, Morningside",-27.457878,153.080888
"Bayside Park","Park","450 Esplanade, Manly",-27.452127,153.186987
"Bayside Parklands","Park","22 Saunders Place, Wynnum",-27.428133,153.167172
"Beccaria Place Park","Park","8 Beccaria Place, Doolandella",-27.607473,152.985241
"Beckett Road Park","Park","60 Paramount Circuit, McDowall",-27.373441,152.991826
"Bedford Playground Park","Park","33 Quarry Street, Spring Hill",-27.457314,153.028333
"Beelarong Community Farm","Community Garden","142 Beverley Street, Morningside",-27.460161,153.078634
"Behan Crescent Park","Park","30 Behan Crescent, Wakerley",-27.481255,153.154854
"Bekker Place Park","Park","27 Shuttleworth Street, Kuraby",-27.608469,153.09973
"Beldale Park","Park","12 Dapper Street, Sunnybank Hills",-27.598506,153.061875
"Bellbowrie mobile library","Mobile library","37 Birkin Road, Bellbowrie",-27.562306,152.888482
"Bellbowrie Pool","Swimming pool","47 Birkin Road, Bellbowrie",-27.563794,152.8897
"Bellevue Avenue Park","Park","Bellevue Avenue, Gaythorne",-27.409966,152.983036
"Bellevue Terrace Park","Park","43 Sir Fred Schonell Drive, St Lucia",-27.493415,152.995725
"Belloy Street Park","Park","24 Belloy Street, Wavell Heights",-27.397316,153.042935
"Belmont Hills Bushland","Park","470 Weekes Road, Carindale",-27.508702,153.120765
"Belmont Recreation Reserve","Park","Narracott Street, Belmont",-27.495406,153.096114
"Ben Lomond Street Park","Park","74 Ben Lomond Street, Aspley",-27.367148,153.007635
"Benarrawa Reserve","Park","68 Gray Avenue, Corinda",-27.542766,152.986412
"Benbek Circuit Park","Park","15 Benbek Circuit, Sunnybank Hills",-27.60145,153.042691
"Bendell Park","Park","131 Borella Road, Sunnybank Hills",-27.592213,153.05483
"Benelong Park","Park","Eleventh Avenue, Kedron",-27.405192,153.040364
"Benjamina Place Park","Park","20 Benjamina Place, The Gap",-27.453099,152.941105
"Bensara Place Park","Park","8 Salito Street, Carseldine",-27.357167,153.009326
"Berkshire Crescent Park","Park","17 Berkshire Crescent, Wishart",-27.549014,153.099399
"Bermingham Street Park","Park","25 Bermingham Street, Alderley",-27.422127,152.99854
"Bert Wolfe Park","Park","11 Ulva Street, Bald Hills",-27.313784,153.008947
"Beryl McKenzie Park","Park","54 Nursery Road, Holland Park West",-27.53374,153.064128
"Beryl Roberts Park","Park","63 Baroda Street, Coopers Plains",-27.565187,153.040852
"Bethania Street Community Garden","Community Garden","38 Bethania Street, Lota",-27.469006,153.184052
"Biami Yumba Park (Fig Tree Pocket Reserve)","Park","838 Fig Tree Pocket Road, Fig Tree Pocket",-27.540672,152.97084
"Bill Benham Park","Park","36 Boolara Street, Hemmant",-27.446744,153.121051
"Bill Brown Sports Reserve (includes Hidden World Playground)","Park","411 Roghan Road, Fitzgibbon",-27.339861,153.033891
"Bill Cash Memorial Park","Park","898 Wynnum Road, Cannon Hill",-27.466978,153.086416
"Bill Key Lock Place Park","Park","8 Bluejay Street, Inala",-27.602818,152.982046
"Bill Lamond Park","Park","34 Andrew Street, Lota",-27.472676,153.187118
"Bill Moore Park","Park","116 Myra Road, Salisbury",-27.548514,153.028194
"Billabong Place Park","Park","5A Gragin Place, Parkinson",-27.631233,153.035329
"Bilston Street Park","Park","8 Webster Road, Stafford",-27.414054,153.010615
"Bisset Place Park","Park","Bisset Place, McDowall",-27.384898,152.991402
"Blackbutt Place Park","Park","23A Blackbutt Place, Brookfield",-27.506052,152.928893
"Bliss Street Park (Lot 29)","Park","Bliss Street, Gaythorne",-27.422185,152.976208
"Bliss Street Park (No.39)","Park","Bliss Street, Gaythorne",-27.422513,152.97838
"Blue Gum Park","Park","73 Kakadu Crescent, Zillmere",-27.352579,153.033527
"Blue Range Drive Park","Park","27 Blue Range Drive, Algester",-27.602563,153.0354
"Bognor Street Park","Park","90 Bognor Street, Tingalpa",-27.466638,153.146349
"Boles Street Park","Park","46 Ogden Street, Stafford",-27.406191,153.002498
"Bolton Street Park","Park","Bolinda Street, Eight Mile Plains",-27.578458,153.092208
"Bonemill Road Park","Park","200 Daw Road, Runcorn",-27.588665,153.075057
"Booker Place Park","Park","Sugarwood Street and Birkin Road, Bellbowrie",-27.563738,152.892575
"Booloumba Crescent Park","Park","35 Booloumba Crescent, Forest Lake",-27.631489,152.966027
"Boondall Park","Park","2332 Sandgate Road, Boondall",-27.338933,153.057056
"Boondall Wetlands","Park","1512 Nudgee Road, Nudgee Beach",-27.336504,153.064305
"Boondall Wetlands Environment Centre","Park","31 Paperbark Drive, Boondall",-27.336656,153.074055
"Boorabbin Picnic Ground","Park","713 Mt Gravatt-Capalaba Road, Wishart",-27.552872,153.110834
"Booral Street Park","Park","14 Bonyi Street, Sunnybank Hills",-27.596321,153.062361
"Boorala Crescent Park","Park","8 Narmar Court, Eight Mile Plains",-27.568345,153.096535
"Borage Place Park","Park","54 Shelduck Place, Calamvale",-27.628807,153.050335
"Bordeaux Street Park","Park","114 Bordeaux Street, Eight Mile Plains",-27.585291,153.08994
"Borella Road Park","Park","23 Borella Road, Sunnybank Hills",-27.597201,153.054071
"Boronia Park","Park","36 Evergreen Place, Forest Lake",-27.618581,152.958869
"Boundary Street Park (no. 349)","Park","29A Glenfield Street, West End",-27.48994,153.010079
"Bowden Park","Park","Akaroa Avenue, Geebung",-27.373599,153.050259
"Bowen Park","Park","3 Bowen Bridge Road, Bowen Hills",-27.448772,153.029802
"Bowhill Road Park","Park","300 Bowhill Road, Willawong",-27.586669,152.995621
"Bowie's Flat Park","Park","19 Boongall Road, Camp Hill",-27.494379,153.065326
"Bowman Park","Park","247 Simpsons Road, Bardon",-27.458078,152.977137
"Boyd Park","Park","11 Boyd Road, Nundah",-27.400999,153.057107
"Boyd Terrace Park","Park","16 Rees Way, Brookfield",-27.505022,152.918484
"Bracken Ridge Hall","Community Hall","77 Bracken Street, Bracken Ridge",-27.317842,153.038397
"Bracken Ridge Library","Library","77 Bracken Street, Bracken Ridge",-27.317978,153.037926
"Bracken Ridge Skate Plaza","General Council venue","523 Telegraph Road, Fitzgibbon",-27.332473,153.042538
"Bracken Ridge Uniting Church Hall","Community Hall","9 Pellinore Road, Bracken Ridge",-27.316787,153.037923
"Bradbury Park","Park","91 Kitchener Road, Kedron",-27.396157,153.027931
"Bradshaw Park","Park","20 Lamington Avenue, Lutwyche",-27.419494,153.032328
"Brady Bushland Park","Park","226 Nemies Road, Runcorn",-27.60796,153.064156
"Brampton Street Park","Park","37 Timaru Crescent, Eight Mile Plains",-27.572168,153.098387
"Breakwater Park","Park","Waterloo Esplanade, Wynnum",-27.436278,153.174021
"Breene Court Park","Park","15 Breene Court, Carindale",-27.510875,153.111934
"Breton Street Park","Park","90 Breton Street, Sunnybank",-27.577578,153.048441
"Brian Hallinan Bikeway","Park","Riaweena Street, The Gap",-27.44577,152.941418
"Bridge Street Park","Park","39 Bridge Street, Red Hill",-27.448379,153.000625
"Bridgeman Place Park","Park","20 Bridgeman Place, Forest Lake",-27.612004,152.976786
"Bridgnorth Street Park (no. 71)","Park","71 Bridgnorth Street, Carindale",-27.506696,153.111161
"Brighton mobile library","Mobile library","25th Avenue, Brighton",-27.286668,153.064557
"Brighton Park","Park","Hornibrook Highway, Brighton",-27.282553,153.060603
"Brisbane Botanic Gardens Mt Coot-tha","Park","152 Mount Coot-tha Road, Mt Coot-tha",-27.47591,152.977712
"Brisbane City Hall","General Council venue","64 Adelaide Street, Brisbane",-27.469108,153.024058
"Brisbane Corso Park","Park","323 Brisbane Corso, Yeronga",-27.505867,153.010197
"Brisbane Institute of Art","General Council venue","41 Grafton Street, Windsor",-27.432616,153.034468
"Brisbane Koala Bushlands","Park","94 Alperton Road, Burbank",-27.573834,153.161309
"Brisbane Powerhouse","General Council venue","119 Lamington Street, New Farm",-27.467383,153.052831
"Brisbane Square Library","Library","266 George Street, Brisbane",-27.471126,153.02257
"Bristol Park","Park","356 Rode Road, Wavell Heights",-27.394856,153.036269
"Brittain Park","Park","Troughton Road, at Cottonvale and Upwood Streets",-27.56888,153.047071
"Broadwater Picnic Ground Park","Park","20 Mansfield Place, Mansfield",-27.54387,153.112153
"Brook Street Park","Park","20A Brook Street, Everton Park",-27.410209,152.987426
"Brookfield Cemetery","Cemetery","665 Brookfield Road, Brookfield",-27.492976,152.9111775
"Brookfield Recreation Reserve","Park","48 Boscombe Road, Brookfield",-27.492551,152.912845
"Brookfield Road Park","Park","76A Brookfield Road, Kenmore",-27.506749,152.930859
"Broula Park","Park","55 Dorrigo Street, Stafford Heights",-27.403976,153.02082
"Brownlee Street Park","Park","25 Bancroft Road, Pinkenba",-27.396321,153.135971
"Bruce Reynold's studio","Non-Council venue","105 Norman Street, Woolloongabba",-27.491813,153.044676
"Bruna Street Park","Park","9 Ellen Street, Runcorn",-27.598535,153.066376
"Brunswick Street Mall","General Council venue","230 Brunswick Street, Fortitude Valley",-27.45673,153.032901
"Brush Box Place Park","Park","21 Brush Box Place, Heathwood",-27.632216,152.993501
"Brushbox Park","Park","142 Lumley Street, Upper Mount Gravatt",-27.553062,153.088249
"Brydon Street Park","Park","19 Brydon Street, Highgate Hill",-27.48878,153.015962
"Buckingham Place Park","Park","81 Manchester Street, Eight Mile Plains",-27.575151,153.096516
"Buckley Street Park","Park","1020 Creek Road, Carina Heights",-27.509187,153.094349
"Bulimba Creek Catchment Co-ordinating Committee","Community Garden,Non-Council venue","1358-1368 Old Cleveland Road, Carindale",-27.502216,153.121556
"Bulimba Library","Library","219 Oxford Street, Bulimba",-27.451929,153.062629
"Bulimba Memorial Park","Park","129 Oxford Street, Bulimba",-27.452266,153.057225
"Bulimba Riverside Park","Park","57 Addison Avenue, Bulimba",-27.453826,153.053816
"Bulimba State School Garden","Community Garden,Non-Council venue","261 Oxford Street, Bulimba",-27.452531,153.064976
"Bundabah Drive Park","Park","Bundabah Drive, Calamvale",-27.616757,153.038567
"Bundara Park","Park","36 Balvenie Street, Keperra",-27.418299,152.939154
"Buranda Playground Park","Park","34 Sword Street, Woolloongabba",-27.493895,153.042792
"Burn Street Park","Park","35 Long Street, Camp Hill",-27.495538,153.083478
"Burnett Lane","General Council venue","30 Burnett Lane, Brisbane City",-27.469669,153.024249
"Burnie Brae Park","Community Garden,Park","Kuran Street, Chermside",-27.389683,153.03539
"Bushy Park","Park","25 Manzill Street, Sunnybank Hills",-27.591315,153.04622
"Byron Street Park","Park","2 Byron Street, Runcorn",-27.600687,153.066816
"C. P. Bottomley Park","Park","31 Halifax Street, Norman Park",-27.48388,153.060956
"C. Slaughter Park","Park","21 Raines Court, Bracken Ridge",-27.327027,153.035679
"C.A. O'Sullivan Park","Park","1367 Beaudesert Road, Acacia Ridge",-27.586493,153.025368
"C.B. Mott Park","Park","49 Abbotsleigh Street, Holland Park",-27.515612,153.05937
"C.J. Greenfield Sports Complex","Park","315 Freeman Road, Richlands",-27.579803,152.962845
"C.T. White Park (White Park)","Park","22 Hamilton Street, Kangaroo Point",-27.469786,153.034319
"Cadogan Street Park","Park","107 Cadogan Street, Carindale",-27.498483,153.117038
"Calamvale District Park","Park","31 Formby Street, Calamvale",-27.621238,153.03809
"Calamvista Park","Park","86 Palatine Street, Calamvale",-27.617052,153.059112
"Calliope Circuit Park","Park","11 Calliope Circuit, Murarrie",-27.463668,153.094062
"Camelot Park","Park","33 Camelot Crescent, Middle Park",-27.558499,152.922732
"Cameron Rocks Reserve","Park","Kingsford Smith Drive, Hamilton",-27.440986,153.048387
"Camoola Street Park","Park","2 Avington Street, Keperra",-27.410623,152.943654
"Cannes Street Park","Park","16 Caringbah Street, Wakerley",-27.47701,153.161502
"Cannon Hill Bushland Reserve","Park","1833 Creek Road, Cannon Hill",-27.473514,153.101369
"Canterbury Park","Park","70 Feuerriegel Road, Bald Hills",-27.308105,153.006667
"Cape Arid Park","Park","17 Cape Arid Park Way, Fitzgibbon",-27.336764,153.024388
"Capitol Drive Park","Park","2 Nero Close, Jindalee",-27.539866,152.944738
"Captain Burke Park","Park","117 Holman Street, Kangaroo Point",-27.465359,153.034896
"Caravonica Court Park","Park","59 Chateau Street, Calamvale",-27.615275,153.056692
"Carew Street Park","Park","46 Carew Street, Nundah",-27.404379,153.051149
"Carina Library","Library","41 Mayfield Road, Carina",-27.493649,153.089816
"Carindale Library","Library","1151 Creek Road (near Millennium Boulevard), Carindale",-27.50272,153.100221
"Carindale PCYC","Community Garden,Non-Council venue","27 Narracott Street, Carindale",-27.496872,153.100379
"Carindale Recreation Reserve","Park","Cadogan and Bedivere Streets, Carindale",-27.497934,153.110565
"Carinya Street Park","Park","Tatong Street, Indooroopilly",-27.494852,152.963763
"Carl Street Park","Park","41 Carl Street, Woolloongabba",-27.499921,153.037405
"Carmichael Park","Park","175 Boundary Street, Tingalpa",-27.468515,153.125154
"Carnarvon Way Park","Park","Carnarvon Way, Murarrie",-27.461518,153.095468
"Carole Park Community Park","Park","11A Southampton Road, Ellen Grove",-27.615322,152.939395
"Carole Park Swim Centre","Swimming pool","260 Waterford Road, Wacol",-27.608103,152.933888
"Carwoola Street Park","Park","10 Carwoola Street, Bardon",-27.46367,152.969277
"Cascade Drive Park (no. 20)","Park","20 Cascade Drive, Forest Lake",-27.62806,152.965833
"Cascade Drive Park (no. 25)","Park","25 Cascade Drive, Forest Lake",-27.629157,152.96373
"Cassia Place Park","Park","77 Brushbox Street, Taigum",-27.334708,153.048004
"Catalina Park","Park","71 Macquarie Street, Teneriffe",-27.460918,153.050516
"Catania Street Park","Park","389 Catania Street South, Wishart",-27.546034,153.100115
"Cathedral Square","Park","410 Ann Street, Brisbane",-27.463467,153.029084
"Cavay Playground Park","Park","121 Morden Street, Sunnybank Hills",-27.581472,153.039563
"Cawonga Park","Park","72 Lincoln Street, Oxley",-27.55444,152.975836
"Cecil Road Park","Park","93 Cecil Road, Bardon",-27.456184,152.981146
"Centacare North East Community Care","Community Garden,Non-Council venue","20 Cambage Road, Northgate",-27.397326,153.073274
"Centenary Place Park","Park","85 Wickham Street, Fortitude Valley",-27.460935,153.031951
"Centenary Pool (Inner City)","Swimming pool","400 Gregory Terrace, Spring Hill",-27.45497,153.023967
"Central Street Park","Park","13 Central Street, Forest Lake",-27.631643,152.960931
"Chadwell Street Canoe Ramp","General Council venue","90 Chadwell Street, Ransome",-27.501349,153.183825
"Chandler Resource Recovery Centre","General Council venue","728 Tilley Road, Chandler",-27.514484,153.151561
"Charles Fraser Park, Eight Mile Plains","Park","14 Manchester Street, Eight Mile Plains",-27.575043,153.092795
"Chateau Street Park","Park","11 Chateau Street, Carseldine",-27.346504,153.008319
"Chelmer Recreation Reserve","Park","83 Oxley Road, Chelmer",-27.512835,152.974796
"Chelsea Road Park (no. 303)","Park","303 Chelsea Road, Ransome",-27.491252,153.182987
"Chelsea Road Park (nos. 399-551)","Park","439 Chelsea Road, Ransome",-27.480349,153.182012
"Chermside Hills Reserve","Park","31 Walker Street, McDowall",-27.377082,152.997562
"Chermside Library","Library","960 Gympie Road, Chermside",-27.381024,153.02967
"Chermside Pool","Swimming pool","375 Hamilton Road, Chermside",-27.386207,153.032667
"Chester Park Reserve","Park","8 Boambillee Street, Mt Gravatt East",-27.529188,153.083796
"Chesterfield Crescent Park","Park","140 Chesterfield Crescent, Kuraby",-27.607132,153.089061
"Childs Road Park","Park","47 Morgan Circuit, Nudgee",-27.369789,153.094714
"Chinatown Mall","General Council venue","33 Duncan Street, Fortitude Valley",-27.458344,153.03339
"Churchill Circuit Park","Park","27 Churchill Circuit, Banyo",-27.383221,153.079832
"Cicada Park","Park","82 Ironbark Road, Chapel Hill",-27.496123,152.941984
"City Botanic Gardens","Park","147 Alice Street, Brisbane City",-27.4759597,153.0276736
"Clare Avenue Park","Park","34 Clare Avenue, Wynnum West",-27.438663,153.152494
"Claremont Parade Park","Park","4 Vaucluse Street, Forest Lake",-27.631369,152.973229
"Clarina Street Park","Park","Clarina Street, Chapel Hill",-27.501235,152.960879
"Clark Lane Park","Park","518 Queen Street, Brisbane City",-27.463477,153.031115
"Clark Park","Park","381 Lutwyche Road, Windsor",-27.427104,153.032636
"Clarrie Beckingham Reserve","Park","114 Saturn Crescent, Bridgeman Downs",-27.36381,152.983923
"Clem Masters Park","Park","31 Hickson Road, Deagon",-27.334043,153.064386
"Clembury Place Park","Park","60 Formby Street, Calamvale",-27.622887,153.035706
"Cliff Street Park","Park","34 Seymour Street, Sandgate",-27.320465,153.073033
"Cliffton Hill Peace Park","Park","15 Tennessee Avenue, Annerley",-27.523662,153.031306
"Clifton Park","Park","15 Bohain Street, Moorooka",-27.525878,153.024215
"Clipper Street Park","Park","71 Clipper Street, Inala",-27.601842,152.96936
"Cliveden Avenue Reserve","Park","449 Cliveden Avenue, Oxley",-27.551463,152.991924
"Clivedon Park (Rainbow Forest)","Park","50 Moorfields Street, Fig Tree Pocket",-27.51721,152.959186
"Cockatoo Place Park","Park","11 Kyeema Street, Rochedale",-27.562385,153.111731
"Col Bennett Park","Park","Triantha Street, Algester",-27.615451,153.028408
"Col Westaway Oval","Park","3448 Moggill Road, Moggill",-27.572515,152.873343
"Collingrove Place Park","Park","29 Collingrove Place, Forest Lake",-27.611339,152.962157
"Colmslie Beach Reserve","Park","Colmslie Road, Murrarie",-27.450955,153.091033
"Colmslie Pool (Morningside)","Swimming pool","400 Lytton Road, Morningside",-27.4535298,153.080598
"Colmslie Reserve","Park","400 Lytton Road, Morningside",-27.453022,153.082381
"Community Park","Park","Southampton Road, Carole Park",-27.617365,153.069017
"Conferta Place Park","Park","25 Conferta Place, Forest Lake",-27.614355,152.965151
"Conondale Park","Park","Kandanga Street, Eight Mile Plains",-27.579252,153.075824
"Considen Place Park","Park","34 Weekes Road, Bellbowrie",-27.56672,152.891278
"Constellation Way Park","Park","97 Constellation Way, Wynnum",-27.427488,153.159971
"Coochin Place Park","Park","15 Coochin Place, Tingalpa",-27.470582,153.141027
"Coolabah Crescent Park","Park","27A Coolabah Crescent, Bridgeman Downs",-27.3641,152.998838
"Coonara Street Park","Park","31 Coonara Street, Holland Park",-27.513651,153.067824
"Coopers Plains Library","Library","107 Orange Grove Rd, Coopers Plains",-27.565045,153.039248
"Coora Street Park","Park","105 Coora Street, Wishart",-27.55765,153.107193
"Coorparoo Community Garden","Community Garden,Non-Council venue","15 York Street, Coorparoo",-27.498957,153.062731
"Copperfield Street Park","Park","55 Copperfield Street, Geebung",-27.370955,153.04388
"Corbie Street Park","Park","34 Corbie Street, Ashgrove",-27.439149,153.001325
"Corinda Library","Library","641 Oxley Road, Corinda",-27.538927,152.981724
"Cormorant Street Park","Park","Cormorant Street, Inala",-27.599019,152.970445
"Corona Avenue Park","Park","66 Corona Avenue, Ashgrove",-27.441609,152.999681
"Corra-Mulling Park","Park","98 Yoorala Street, The Gap",-27.449364,152.938664
"Cowie Road Park","Park","109 Cowie Road, Carseldine",-27.339255,153.020032
"Cowlishaw Street Park","Park","15 Cowlishaw Street, Bowen Hills",-27.448135,153.04191
"Cox Park","Park","Richard Street, Lota",-27.469163,153.185168
